Frame,Player ID,Speed (km/h),Distance Covered (m),Fatigue Index
0,5,2.25,0.555,3.75
1,5,2.25,0.555,3.75
2,5,2.25,0.555,3.75
3,5,2.25,0.555,3.75
4,5,2.25,0.555,3.75
5,5,3.712,1.143,2.625
6,5,3.712,1.143,2.625
7,5,3.712,1.143,2.625
8,5,3.712,1.143,2.625
9,5,3.712,1.143,2.625
10,5,4.308,1.392,2.314
11,5,4.308,1.392,2.314
12,5,4.308,1.392,2.314
13,5,4.308,1.392,2.314
14,5,4.308,1.392,2.314
25,5,5.05,1.871,1.596
26,5,5.05,1.871,1.596
27,5,5.05,1.871,1.596
28,5,5.05,1.871,1.596
29,5,5.05,1.871,1.596
30,5,5.792,2.725,0.715
31,5,5.792,2.725,0.715
32,5,5.792,2.725,0.715
33,5,5.792,2.725,0.715
34,5,5.792,2.725,0.715
35,5,7.02,3.194,-0.455
36,5,7.02,3.194,-0.455
37,5,7.02,3.194,-0.455
38,5,7.02,3.194,-0.455
39,5,7.02,3.194,-0.455
40,5,5.67,3.349,-0.274
41,5,5.67,3.349,-0.274
42,5,5.67,3.349,-0.274
43,5,5.67,3.349,-0.274
44,5,5.67,3.349,-0.274
45,5,6.345,5.466,-0.583
46,5,6.345,5.466,-0.583
47,5,6.345,5.466,-0.583
48,5,6.345,5.466,-0.583
49,5,6.345,5.466,-0.583
50,5,8.099,6.73,-0.891
51,5,8.099,6.73,-0.891
52,5,8.099,6.73,-0.891
53,5,8.099,6.73,-0.891
54,5,8.099,6.73,-0.891
55,5,5.174,6.924,0.151
56,5,5.174,6.924,0.151
57,5,5.174,6.924,0.151
58,5,5.174,6.924,0.151
59,5,5.174,6.924,0.151
60,5,5.849,9.246,0.601
61,5,5.849,9.246,0.601
62,5,5.849,9.246,0.601
63,5,5.849,9.246,0.601
64,5,5.849,9.246,0.601
65,5,5.563,9.529,0.342
66,5,5.563,9.529,0.342
67,5,5.563,9.529,0.342
68,5,5.563,9.529,0.342
69,5,5.563,9.529,0.342
70,5,6.238,10.929,0.083
71,5,6.238,10.929,0.083
72,5,6.238,10.929,0.083
73,5,6.238,10.929,0.083
74,5,6.238,10.929,0.083
75,5,5.166,11.228,0.669
76,5,5.166,11.228,0.669
77,5,5.166,11.228,0.669
78,5,5.166,11.228,0.669
79,5,5.166,11.228,0.669
80,5,6.319,13.975,-0.094
81,5,6.319,13.975,-0.094
82,5,6.319,13.975,-0.094
83,5,6.319,13.975,-0.094
84,5,6.319,13.975,-0.094
85,5,7.901,16.384,-0.858
86,5,7.901,16.384,-0.858
87,5,7.901,16.384,-0.858
88,5,7.901,16.384,-0.858
89,5,7.901,16.384,-0.858
90,5,8.766,19.422,-2.262
91,5,8.766,19.422,-2.262
92,5,8.766,19.422,-2.262
93,5,8.766,19.422,-2.262
94,5,8.766,19.422,-2.262
95,5,8.574,19.918,-2.548
96,5,8.574,19.918,-2.548
97,5,8.574,19.918,-2.548
98,5,8.574,19.918,-2.548
99,5,8.574,19.918,-2.548
100,5,8.586,20.415,-3.232
101,5,8.586,20.415,-3.232
102,5,8.586,20.415,-3.232
103,5,8.586,20.415,-3.232
104,5,8.586,20.415,-3.232
105,5,10.017,23.204,-3.916
106,5,10.017,23.204,-3.916
107,5,10.017,23.204,-3.916
108,5,10.017,23.204,-3.916
109,5,10.017,23.204,-3.916
110,5,11.511,26.814,-4.6
111,5,11.511,26.814,-4.6
112,5,11.511,26.814,-4.6
113,5,11.511,26.814,-4.6
114,5,11.511,26.814,-4.6
115,5,8.586,27.118,-3.934
116,5,8.586,27.118,-3.934
117,5,8.586,27.118,-3.934
118,5,8.586,27.118,-3.934
119,5,8.586,27.118,-3.934
120,5,7.653,27.435,-3.314
121,5,7.653,27.435,-3.314
122,5,7.653,27.435,-3.314
123,5,7.653,27.435,-3.314
124,5,7.653,27.435,-3.314
125,5,6.516,27.533,-1.934
126,5,6.516,27.533,-1.934
127,5,6.516,27.533,-1.934
128,5,6.516,27.533,-1.934
129,5,6.516,27.533,-1.934
130,5,4.028,27.57,0.104
131,5,4.028,27.57,0.104
132,5,4.028,27.57,0.104
133,5,4.028,27.57,0.104
134,5,4.028,27.57,0.104
135,5,2.851,27.735,2.151
136,5,2.851,27.735,2.151
137,5,2.851,27.735,2.151
138,5,2.851,27.735,2.151
139,5,2.851,27.735,2.151
140,5,1.493,27.795,3.659
141,5,1.493,27.795,3.659
142,5,1.493,27.795,3.659
143,5,1.493,27.795,3.659
144,5,1.493,27.795,3.659
145,5,1.506,27.882,4.453
146,5,1.506,27.882,4.453
147,5,1.506,27.882,4.453
148,5,1.506,27.882,4.453
149,5,1.506,27.882,4.453
150,5,2.181,31.715,4.039
151,5,2.181,31.715,4.039
152,5,2.181,31.715,4.039
153,5,2.181,31.715,4.039
154,5,2.181,31.715,4.039
155,5,3.798,35.538,2.967
156,5,3.798,35.538,2.967
157,5,3.798,35.538,2.967
158,5,3.798,35.538,2.967
159,5,3.798,35.538,2.967
160,5,1.506,35.538,3.236
161,5,1.506,35.538,3.236
162,5,1.506,35.538,3.236
163,5,1.506,35.538,3.236
164,5,1.506,35.538,3.236
165,5,3.756,39.257,2.694
166,5,3.756,39.257,2.694
167,5,3.756,39.257,2.694
168,5,3.756,39.257,2.694
169,5,3.756,39.257,2.694
170,5,4.431,42.813,1.794
171,5,4.431,42.813,1.794
172,5,4.431,42.813,1.794
173,5,4.431,42.813,1.794
174,5,4.431,42.813,1.794
175,5,6.681,46.336,0.894
176,5,6.681,46.336,0.894
177,5,6.681,46.336,0.894
178,5,6.681,46.336,0.894
179,5,6.681,46.336,0.894
180,5,3.756,46.392,1.344
181,5,3.756,46.392,1.344
182,5,3.756,46.392,1.344
183,5,3.756,46.392,1.344
184,5,3.756,46.392,1.344
185,5,6.006,49.916,0.444
186,5,6.006,49.916,0.444
187,5,6.006,49.916,0.444
188,5,6.006,49.916,0.444
189,5,6.006,49.916,0.444
190,5,6.051,50.272,-0.036
191,5,6.051,50.272,-0.036
192,5,6.051,50.272,-0.036
193,5,6.051,50.272,-0.036
194,5,6.051,50.272,-0.036
195,5,6.832,50.858,-0.516
196,5,6.832,50.858,-0.516
197,5,6.832,50.858,-0.516
198,5,6.832,50.858,-0.516
199,5,6.832,50.858,-0.516
200,5,5.376,50.896,0.353
201,5,5.376,50.896,0.353
202,5,5.376,50.896,0.353
203,5,5.376,50.896,0.353
204,5,5.376,50.896,0.353
205,5,5.001,51.05,0.574
206,5,5.001,51.05,0.574
207,5,5.001,51.05,0.574
208,5,5.001,51.05,0.574
209,5,5.001,51.05,0.574
210,5,4.852,51.331,0.804
211,5,4.852,51.331,0.804
212,5,4.852,51.331,0.804
213,5,4.852,51.331,0.804
214,5,4.852,51.331,0.804
215,5,3.323,51.444,1.644
216,5,3.323,51.444,1.644
217,5,3.323,51.444,1.644
218,5,3.323,51.444,1.644
219,5,3.323,51.444,1.644
220,5,2.152,51.501,3.13
221,5,2.152,51.501,3.13
222,5,2.152,51.501,3.13
223,5,2.152,51.501,3.13
224,5,2.152,51.501,3.13
